455;30;Konečný Ladislav;Brno-Bohunice;Sylvánské zelené;B;;2023;SZ;;;1;82;;
461;32;Kořenek winary s.r.o.;Brno;Tramín červený;B;VzH;2022;TČ;;;3;70;;
462;80;Vinařství Kamil Osička;Dolní Kounice;Tramín červený;B;;2022;TČ;polosladké;;3;82;;
463;160;Hrušák Jaroslav;Boršice;Tramín červený;B;;2021;TČ;;;3;86;;
464;144;Vinařství Petr Samson;Velké Němčice;Tramín červený;B;;2021;TČ;polosladké;;3;82;;
465;75;Vinařství Habřina;Bořetice;Tramín červený;B;PS;2020;TČ;suché;;3;78;;
466;150;Hrdlička Ladislav;Telnice;Tramín červený;B;PS;2022;TČ;;;3;91;;
467;161;Bělehrádek Lubomír;Rebešovice;Tramín červený;B;PS;2020;TČ;;;3;70;;
468;22;Chrbját Lukáš;Osvětimany;Tramín červený;B;PS;2022;TČ;;;3;78;;
469;156;Vinařství Košulič;Hustopeče;Tramín červený;B;;2022;TČ;polosuché;;3;76;;
470;5;Buchtík Zdeněk;Boršice;Tramín červený;B;PS;2022;TČ;;;3;84;;
471;95;Vinné sklepy Maršovice;Jezeřany-Maršovice;Tramín červený;B;PS;2021;TČ;;;3;83;;
472;146;Strouhal Oldřich;Klobouky u Brna;Tramín červený;B;PS;2022;TČ;;;3;70;;
481;124;Vinařství Sonberk;Popice;Tramín;B;PS;2022;Tra;polosuché;;3;86;;
491;67;Tejkal Miloš;Dolní Kounice;Veltlínské červené rané;B;;2022;VČR;;;7;86;;
492;80;Vinařství Kamil Osička;Dolní Kounice;Veltlínské červené rané;B;;2022;VČR;polosuché;;7;84;;
493;78;Vinařství Jan Plaček;Moravské Bránice;Veltlínské červené rané;B;;2023;VČR;suché;;7;83;;
501;88;Vinařství Thaya;Hnanice;Veltlínské zelené;B;;2022;VZ;suché;;1;83;;
502;152;Weiss Petr;Miroslavské Knínice;Veltlínské zelené;B;PS;2023;VZ;;;1;86;;
503;84;Vinařství Poppovi;Šatov;Veltlínské zelené;B;;2022;VZ;suché;;1;82;;
504;98;Víno Pokorný;Chvalovice;Veltlínské zelené;B;;2022;VZ;polosuché;;1;84;;
505;2;Adámkovo vinařství s.r.o.;Višňové;Veltlínské zelené;B;PS;2022;VZ;suché;;1;86;;
506;96;Vinný skípek u Hanzelů;Miroslavské Knínice;Veltlínské zelené;B;PS;2022;VZ;;;1;86;;
